x,y,theta,v,omega
3.873864,3.366456,1.753886,0.5,0.119447
3.864467,3.415565,1.765831,0.484588,0.406687
3.854111,3.462901,1.8065,0.447894,0.507317
3.842552,3.506168,1.857232,0.441942,1.140934
3.827677,3.547758,1.971325,0.427164,1.506206
5.210597,1.197432,2.100361,0.395766,-1.646511
5.171219,1.321353,1.708338,0.458531,-0.857906
5.166887,1.366987,1.622547,0.482619,-0.606084
5.165852,1.415231,1.561939,0.5,-0.531454
5.167623,1.465193,1.508794,0.472545,-0.357372
5.171393,1.512295,1.473056,0.5,-0.125118
5.176583,1.562024,1.460545,0.445999,-0.154746
5.181833,1.606314,1.44507,0.494861,0.175788
5.187607,1.655461,1.462649,0.4692,0.025313
5.192612,1.702114,1.46518,0.5,-0.024067
5.207052,1.84997,1.49901,0.48805,0.362668
5.210175,2.095896,1.599949,0.5,0.060414
5.208566,2.14587,1.60599,0.5,0.416544
5.779447,2.946217,1.463524,0.482546,-0.093986
5.784839,2.994169,1.454126,0.467667,0.034821
2.978419,1.093163,1.558601,0.476548,-0.516516
1.85132,2.402163,-0.034935,0.5,-0.021483
1.901288,2.400363,-0.037083,0.476503,0.229804
1.994032,2.398514,-0.013799,0.488514,0.036375
2.9725,1.65316,-4.572945,0.47474,-0.416764
2.966883,1.700297,-4.614621,0.475674,-0.425566
0.815083,0.206587,2.147675,0.481725,-1.053185
0.53583,1.61834,1.859362,0.46342,-0.571967
1.953381,3.330506,3.078614,0.5,0.447773
1.903427,3.332535,3.123391,0.496913,0.218522
1.853738,3.332897,3.145244,0.467593,-0.280835
1.806982,3.333382,3.11716,0.462705,-0.506421
1.760774,3.335683,3.066518,0.5,-0.880821
1.711144,3.341623,2.978436,0.487944,-0.92035
5.263714,4.792057,-1.056062,0.5,-0.190202
5.16839,1.049182,1.859994,0.451152,-1.014733
5.157738,1.093001,1.758521,0.475695,-0.766477
5.150659,1.14003,1.681873,0.467167,-0.789424
5.147317,1.186614,1.602931,0.490153,-0.651072
5.147338,1.235621,1.537824,0.49512,-0.524256
5.180926,1.52968,1.445044,0.5,0.166059
4.584287,0.413107,-0.682312,0.5,0.479415
4.659469,0.357891,-0.575113,0.487667,0.616431
4.701182,0.332643,-0.51347,0.454239,0.737108
5.409282,0.204623,-0.072484,0.490571,0.018019
5.458214,0.201115,-0.070682,0.499954,-0.179144
0.586514,0.216224,0.040412,0.280857,2.0
0.648631,0.232315,0.440332,0.360866,1.614065
0.417552,2.405837,-0.761732,0.460808,0.700202
4.182658,3.303629,-0.85453,0.473029,0.119977
2.273868,0.799403,-1.299885,0.470544,0.30922
2.303441,0.708009,-1.195773,0.449124,0.990116
0.298257,4.534261,-4.714582,0.5,0.080113
0.298167,4.584261,-4.706571,0.5,0.011822
0.297846,4.63426,-4.705389,0.5,-0.023862
0.297556,4.684259,-4.707775,0.5,0.108264
0.297055,4.734256,-4.696948,0.5,0.061951
3.98369,4.047396,2.933583,0.466762,0.169332
3.309821,4.157755,3.007272,0.493155,-0.055333
3.260968,4.164494,3.001739,0.476784,0.076823
3.21373,4.170959,3.009421,0.5,-0.119608
3.164207,4.177844,2.99746,0.5,0.196718
