x,y,theta,v,omega
3.348108,0.586182,-2.012981,0.495386,-0.054583
3.326787,0.541466,-2.018439,0.47578,-0.281297
1.324467,0.274877,0.664982,0.487351,0.253873
3.469526,2.490531,0.844613,0.5,-0.160034
3.355948,1.873697,-1.811774,0.490017,-0.749029
2.944246,0.366257,-1.761398,0.467829,-0.030979
3.585842,1.717579,-1.836729,0.318602,-2.0
3.182705,1.519509,-3.040009,0.487301,-0.177787
2.490825,1.534691,-2.356913,0.487656,-0.231896
2.381358,1.435228,-2.460309,0.4743,-0.430395
1.419873,3.059234,-2.970313,0.493574,-0.015071
3.727107,2.350206,-1.753967,0.472235,-0.560401
3.589808,1.829291,-1.737547,0.5,0.166976
3.484917,0.706805,-1.640453,0.472215,-0.022761
2.669423,0.565358,-1.624677,0.5,-0.324607
1.401158,2.945295,2.829976,0.497063,-0.076208
1.398071,2.322895,-2.098986,0.470755,0.530803
3.016248,0.610603,-1.158714,0.5,0.25395
0.408677,3.771689,-1.728909,0.217055,2.0
0.707992,3.5042,-0.336016,0.5,-0.077376
2.393239,1.1951,3.045569,0.482666,0.070988
1.150823,2.228434,1.78673,0.492523,0.081462
1.348866,1.858655,-1.395766,0.491791,0.66002
1.359022,1.810545,-1.329764,0.487166,0.507898
3.30462,0.693515,2.156587,0.474586,-0.845478
1.073977,3.487048,2.584158,0.5,-0.090425
0.783127,3.673668,2.565248,0.5,-0.00283
0.701095,3.727088,2.5622,0.488369,0.068404
0.246821,1.38291,0.693116,0.490025,0.123018
0.499377,1.604133,0.714247,0.5,-0.090876
0.794436,2.463814,-2.752197,0.5,0.097639
1.780133,0.539643,1.34731,0.486974,-0.887789
1.793018,0.586588,1.258531,0.455331,-1.018185
2.48616,0.653116,-0.114559,0.499531,0.104883
2.219812,3.574134,-0.978118,0.450981,-1.040522
3.031861,1.007823,-1.307104,0.5,0.130339
1.404489,1.322896,0.8762,0.310503,1.918551
1.414987,1.691828,1.863944,0.5,0.230462
1.399988,1.739525,1.88699,0.466148,0.216555
1.354059,1.878746,1.861002,0.5,-0.319038
3.34374,2.618831,-1.743215,0.5,0.05715
3.335303,2.569548,-1.7375,0.5,0.070412
3.150136,1.546899,-1.771886,0.47916,-0.113617
1.552881,0.226286,1.335862,0.457535,-0.92038
1.565563,0.27023,1.243824,0.479701,-0.872106
3.468427,3.720245,3.115588,0.479785,0.569597
3.22357,3.706752,3.2076,0.5,-0.011343
3.173677,3.703482,3.206466,0.5,0.076749
2.045391,3.755926,3.074839,0.5,0.006046
1.995502,3.759246,3.075444,0.5,-0.081419
1.945625,3.762754,3.067302,0.490976,0.138003
1.896639,3.76606,3.081102,0.479561,-0.165852
1.798927,3.77296,3.074368,0.486221,0.140769
1.750394,3.775885,3.088445,0.5,-0.077326
1.700475,3.778734,3.080713,0.5,0.012356
1.650566,3.781745,3.081948,0.479592,-0.12674
1.602711,3.784907,3.069274,0.496933,-0.085186
1.553164,3.788709,3.060756,0.488321,0.175368
1.504459,3.792225,3.078293,0.457657,-0.147418
1.458808,3.795457,3.063551,0.488446,0.119171
2.996307,0.971725,1.944823,0.5,-0.046096
2.925389,1.155482,1.92035,0.476683,-0.292799
3.683598,2.228607,-1.573068,0.218812,-2.0
2.441902,1.477361,-2.565977,0.459729,-0.11951
3.510382,1.985194,0.493185,0.5,0.076462
0.40413,0.312737,-0.875919,0.255852,2.0
0.474514,0.268395,-0.284056,0.390095,1.57994
0.512666,0.26046,-0.126062,0.432296,1.644576
0.555806,0.258567,0.038396,0.472368,1.098896
0.602813,0.262968,0.148285,0.467876,0.882524
0.648722,0.271912,0.236538,0.457756,0.741009
0.692785,0.284277,0.310639,0.489033,0.45539
0.738992,0.30028,0.356178,0.486822,0.279818
