x,y,theta,v,omega
1.561646,0.730771,0.794085,0.484896,0.083825
1.732416,0.911266,0.828974,0.5,0.047147
1.932659,1.134649,0.84735,0.5,0.012098
0.753822,0.396172,0.699455,0.231923,0.036833
0.968406,0.581604,0.715516,0.244505,-0.014773
1.71635,1.15293,0.601032,0.5,-0.009907
3.434314,2.812379,0.850488,0.5,-0.003604
0.392876,0.389966,1.02036,0.277778,0.129884
0.407251,0.413734,1.033348,0.281184,0.122791
0.595787,0.783645,1.140779,0.308788,0.023714
0.784318,1.189931,1.109614,0.350648,-0.07385
0.870937,1.355526,1.067108,0.417836,-0.098821
1.180253,1.842643,0.949004,0.499999,-0.093831
1.362438,2.080918,0.881957,0.499999,-0.152472
3.268911,3.150253,0.437858,0.499999,0.037886
0.403433,1.852831,1.098813,0.3665,-0.331732
0.215909,2.500802,1.326292,0.479411,-0.351627
0.274368,2.678797,1.17464,0.451022,-0.422954
0.407376,2.906488,0.900734,0.441134,-0.488407
0.82618,3.214651,0.402316,0.49998,-0.364974
1.758636,3.357641,-0.007564,0.499987,-0.08579
1.95857,3.35302,-0.036395,0.499987,-0.050259
2.108425,3.346534,-0.049032,0.499987,-0.026199
2.30814,3.335954,-0.054908,0.499987,0.00432
2.507856,3.325417,-0.048599,0.499987,0.035165
2.707687,3.317391,-0.029629,0.499987,0.068652
0.223494,2.900369,1.360096,0.499987,-0.386073
0.263555,3.044818,1.237364,0.499983,-0.454485
0.431446,3.348636,0.88046,0.491688,-0.559184
3.250402,3.444515,-0.026151,0.499985,0.217038
0.417553,0.331105,1.158104,0.499997,0.60819
0.302043,3.254245,1.386499,0.499997,-0.402217
1.021717,3.977251,0.176678,0.499982,-0.418335
1.170618,3.994599,0.058563,0.499986,-0.345734
1.370478,3.993266,-0.066423,0.499988,-0.259989
3.460486,3.518076,-0.015281,0.499987,0.31597
0.411281,3.621357,1.190627,0.499999,-0.585935
0.725215,3.991807,0.531166,0.49781,-0.63029
1.551778,4.085337,-0.179137,0.499992,-0.205336
1.747032,4.042241,-0.251221,0.499992,-0.141382
1.939379,3.987529,-0.299745,0.499992,-0.090063
2.506608,3.792126,-0.340461,0.499992,0.027847
0.220191,0.003914,0.036522,0.243911,0.044747
0.972828,0.101867,0.253469,0.226488,0.098951
1.163403,0.160882,0.351227,0.215187,0.121327
1.354524,0.245126,0.485212,0.203444,0.150214
1.554984,0.375518,0.666731,0.268618,0.179433
1.575943,0.392319,0.684674,0.287423,0.180219
1.731731,0.535247,0.790581,0.456745,0.161894
1.796751,0.603108,0.82211,0.5,0.143177
1.92894,0.753167,0.872002,0.5,0.092142
1.960928,0.791596,0.881216,0.5,0.079132
2.116816,0.98703,0.909433,0.5,0.027874
2.238948,1.145408,0.916936,0.5,0.006963
2.299724,1.22482,0.918035,0.5,0.001799
2.390814,1.343994,0.918131,0.5,-0.001756
2.481945,1.463137,0.917494,0.5,-0.002446
2.542746,1.542531,0.917014,0.5,-0.002173
2.694887,1.740906,0.916175,0.5,-0.000924
2.87759,1.978855,0.915897,0.5,-4e-06
3.060309,2.216791,0.91594,0.5,9e-06
3.243035,2.454722,0.915749,0.5,-0.001021
3.639722,2.969638,0.912715,0.5,0.000398
3.822831,3.207273,0.918316,0.5,0.029817
4.164488,3.699958,1.050759,0.5,0.229315
4.188834,3.743629,1.073691,0.5,0.247225
1.10233,0.764954,0.691019,0.296239,-0.079594
0.602945,0.604083,1.072377,0.288121,0.084852
0.785944,0.979136,1.143511,0.312421,0.0116
0.981226,1.400203,1.11582,0.452015,-0.06069
1.044389,1.526191,1.095906,0.497942,-0.077863
1.16331,1.745836,1.050611,0.499998,-0.112477
0.729406,1.338932,1.129836,0.348499,-0.123843
3.048787,2.977835,0.350595,0.499987,0.062941
3.464704,3.149151,0.445733,0.499986,0.16569
0.621561,1.538635,1.236008,0.385999,-0.154727
0.690922,1.713998,1.146686,0.364218,-0.214051
0.615713,1.937046,1.298536,0.441982,-0.190959
0.668897,2.101697,1.21405,0.41629,-0.244827
0.75106,2.285222,1.078715,0.382635,-0.3074
0.539414,1.900801,1.477187,0.499949,-0.102695
0.562648,2.099404,1.428146,0.499951,-0.156736
0.648499,2.48725,1.261276,0.483722,-0.277933
0.716385,2.663712,1.140728,0.452133,-0.339484
1.00802,3.047926,0.66922,0.381571,-0.406156
0.574453,2.283776,1.542591,0.499989,-0.117488
0.58524,2.483455,1.487731,0.499989,-0.171926
0.651218,2.877396,1.303935,0.499987,-0.311462
0.716468,3.066283,1.167485,0.499993,-0.390266
1.385529,3.64408,0.234869,0.450925,-0.344189
1.56824,3.675125,0.107425,0.482322,-0.276346
1.763715,3.685835,0.006685,0.498088,-0.212053
0.714773,3.245533,1.308381,0.499998,-0.335171
