x,y,theta,v,omega
3.222023000000000081e+00,2.596862999999999921e+00,8.582330000000000236e-01,5.000000000000000000e-01,-2.390000000000000197e-03
3.254716000000000165e+00,2.634694000000000091e+00,8.579940000000000344e-01,5.000000000000000000e-01,-2.304000000000000058e-03
3.287418000000000173e+00,2.672517000000000031e+00,8.577639999999999709e-01,5.000000000000000000e-01,-2.338999999999999933e-03
3.320129000000000108e+00,2.710332000000000185e+00,8.575300000000000145e-01,5.000000000000000000e-01,-2.500000000000000052e-03
3.352848999999999968e+00,2.748139000000000109e+00,8.572800000000000420e-01,5.000000000000000000e-01,-2.781000000000000052e-03
3.385580000000000034e+00,2.785937999999999803e+00,8.570020000000000415e-01,5.000000000000000000e-01,-3.163000000000000013e-03
3.418321000000000165e+00,2.823726999999999876e+00,8.566850000000000298e-01,5.000000000000000000e-01,-3.616999999999999989e-03
3.451074999999999893e+00,2.861505000000000187e+00,8.563239999999999741e-01,5.000000000000000000e-01,-4.098000000000000080e-03
3.483843999999999941e+00,2.899270000000000014e+00,8.559139999999999526e-01,5.000000000000000000e-01,-4.543000000000000163e-03
3.516629000000000005e+00,2.937021000000000104e+00,8.554599999999999982e-01,5.000000000000000000e-01,-4.872999999999999728e-03
3.549430999999999781e+00,2.974756000000000178e+00,8.549719999999999542e-01,5.000000000000000000e-01,-4.987000000000000113e-03
3.582253000000000132e+00,3.012475999999999932e+00,8.544730000000000381e-01,5.000000000000000000e-01,-4.760000000000000342e-03
3.615092000000000194e+00,3.050178999999999974e+00,8.539970000000000061e-01,5.000000000000000000e-01,-4.043999999999999852e-03
3.647949000000000108e+00,3.087867999999999835e+00,8.535930000000000462e-01,5.000000000000000000e-01,-2.667000000000000100e-03
3.680817999999999923e+00,3.125545999999999935e+00,8.533260000000000289e-01,5.000000000000000000e-01,-4.330000000000000081e-04
3.713693000000000133e+00,3.163218999999999781e+00,8.532830000000000137e-01,5.000000000000000000e-01,2.871999999999999987e-03
3.746563000000000088e+00,3.200896000000000186e+00,8.535700000000000509e-01,5.000000000000000000e-01,7.476000000000000006e-03
3.779412999999999911e+00,3.238589999999999858e+00,8.543180000000000218e-01,5.000000000000000000e-01,1.361099999999999983e-02
3.812224000000000057e+00,3.276317999999999842e+00,8.556789999999999674e-01,5.000000000000000000e-01,2.149900000000000075e-02
3.844968999999999859e+00,3.314103999999999939e+00,8.578289999999999527e-01,5.000000000000000000e-01,3.133899999999999880e-02
3.877613999999999894e+00,3.351976000000000067e+00,8.609630000000000338e-01,5.000000000000000000e-01,4.328499999999999709e-02
